Shopping,Area por m2,City,State
PRUDENSHOPPING,61345,Presidente Prudente , SP
RAPOSO SHOPPING,45685,São Paulo , SP
RECANTO SHOPPING,4290,Brasília , DF
RECREIO SHOPPING CENTER,37650,Rio de Janeiro , RJ
RESENDE SHOPPING,6800,Resende , RJ
RESERVA OPEN MALL,0,Fortaleza , CE
RIBEIRÃOSHOPPING,237306,Ribeirão Preto , SP
RIO ANIL SHOPPING,61155,São Luís , MA
RIO DESIGN BARRA,29955,Rio de Janeiro , RJ
RIO DESIGN LEBLON,0,Rio de Janeiro , RJ
RIO SUL SHOPPING CENTER,23127,Rio de Janeiro , RJ
RIO TAPAJÓS SHOPPING,54000,Santarém , PA
RIOMAR KENNEDY,82460,Fortaleza , CE
RIOMAR SHOPPING (FORTALEZA),320000,Fortaleza , CE
RIOMAR SHOPPING ARACAJU,94020,Aracaju , SE
RIOPRETO SHOPPING CENTER,107000,São José do Rio Preto , SP
RIVER SHOPPING,107350,Petrolina , PE
ROAD SHOPPING,101000,Itu , SP
RONDON PLAZA SHOPPING,61062,RONDONÓPOLIS , MT
RORAIMA GARDEN SHOPPING,102500,Boa Vista , RR
ROYAL PLAZA SHOPPING,9324,Santa Maria , RS
ROYAL PLAZA SHOPPING LONDRINA,3764,Londrina , PR
RUA DA PRAIA SHOPPING,2968,Porto Alegre , RS
SALGUEIRO SHOPPING,6319,Salgueiro , PE
SALINAS SHOPPING,40000,Fortaleza , CE
SALVADOR NORTE SHOPPING,52868,Salvador , BA
SALVADOR SHOPPING,89597,Salvador , BA
SANTA MARIA SHOPPING,0,Brasília , DF
SANTANA PARQUE SHOPPING,29452,São Paulo , SP
SÃO BERNARDO PLAZA SHOPPING,104797,São Bernardo do Campo , SP
SÃO GONÇALO SHOPPING,69460,São Gonçalo , RJ
SÃO LUÍS SHOPPING CENTER,149700,São Luís , MA
SERRAMAR SHOPPING,163000,Caraguatatuba , SP
SERRASUL SHOPPING,145155,Pouso Alegre , MG
SHOPPING ABC,33287,Santo André , SP
SHOPPING ALEGRIA,45000,Várzea Paulista , SP
SHOPPING AMÉRICO SILVA,1158,Três Rios , RJ
SHOPPING ANÁLIA FRANCO,0,São Paulo , SP
SHOPPING ARAGUAIA GURUPI,40000,Gurupi , TO
SHOPPING AVENIDA,11025,Feira de Santana , BA
SHOPPING AVENIDA CENTER DOURADOS,0,Dourados , MS
SHOPPING AVENIDA CENTER MARINGÁ,24849,Maringá , PR
SHOPPING BARRA,43783,Salvador , BA
SHOPPING BAY MARKET,7047,NITERÓI , RJ
SHOPPING BELA VISTA,72000,Salvador , BA
SHOPPING BENFICA,29284,Fortaleza , CE
SHOPPING BOA VISTA,8887,Recife , PE
SHOPPING BONSUCESSO,87932,Guarulhos , SP
SHOPPING BOSQUE DOS IPÊS,144500,Campo Grande , MS
SHOPPING BOSQUE GRÃO PARÁ,125000,Belém , PA
SHOPPING BOUGAINVILLE,7300,Goiânia , GO
SHOPPING BOULEVARD,19033,Rio de Janeiro , RJ
SHOPPING BOULEVARD GARDEN ARAXÁ,4030,Araxá , MG
SHOPPING CAJAZEIRAS,9773,Salvador , BA
SHOPPING CAMPO GRANDE,127971,Campo Grande , MS
SHOPPING CAMPO LIMPO,33706,São Paulo , SP
SHOPPING CARPINA,0,Carpina , PE
SHOPPING CENTER 3,7000,São Paulo , SP
SHOPPING CENTER AGUAVERDE,6000,Curitiba , PR
SHOPPING CENTER CIDADE DAS FLORES,17124,Joinville , SC
SHOPPING CENTER COSTA DOURADA,78633,Cabo de Santo Agostinho , PE
SHOPPING CENTER FERNANDÓPOLIS,76337,Fernandópolis , SP
SHOPPING CENTER IGUATEMI CAMPINAS,0,Campinas , SP
SHOPPING CENTER IGUATEMI ESPLANADA,68485,Sorocaba , SP
SHOPPING CENTER IGUATEMI PORTO ALEGRE,0,Porto Alegre , RS
SHOPPING CENTER IGUATEMI RIBEIRÃO PRETO,100104,Ribeirão Preto , SP
SHOPPING CENTER IGUATEMI SÃO CARLOS,0,São Carlos , SP
SHOPPING CENTER IGUATEMI SÃO PAULO,0,São Paulo , SP
SHOPPING CENTER LAPA SALVADOR,8577,Salvador , BA
SHOPPING CENTER LAPASP,6887,São Paulo , SP
SHOPPING CENTER NORTE,164788,São Paulo , SP
SHOPPING CENTER PARALELA,60000,Salvador , BA
SHOPPING CENTER PENHA,22894,São Paulo , SP
SHOPPING CENTER PIEDADE,13581,Salvador , BA
SHOPPING CENTER RIO CLARO,65000,Rio Claro , SP
SHOPPING CENTER TRÊS AMÉRICAS,17099,Cuiabá , MT
SHOPPING CENTER UBERABA,115000,Uberaba , MG
SHOPPING CENTRO,0,São José dos Campos , SP
SHOPPING CENTRONORTE,6629,Apucarana , PR
SHOPPING CERRADO,64672,Goiânia , GO
SHOPPING CIDADE,7551,Belo Horizonte , MG
SHOPPING CIDADE CURITIBA,24000,Curitiba , PR
SHOPPING CIDADE DAS ARTES,0,Embu das Artes , SP
SHOPPING CIDADE DOS LAGOS,67000,Guarapuava , PR
SHOPPING CIDADE JARDIM,26919,Goiânia , GO
SHOPPING CIDADE JARDIM,19242,São Paulo , SP
SHOPPING CIDADE JARDIM NATAL,13392,Natal , RN
SHOPPING CIDADE LESTE,22000,Manaus , AM
SHOPPING CIDADE LUZ,52000,Guarabira , PB
SHOPPING CIDADE MARINGÁ,37463,Maringá , PR
SHOPPING CIDADE NORTE,70597,São José do Rio Preto , SP
SHOPPING CIDADE SÃO PAULO,11953,São Paulo , SP
SHOPPING CIDADE SOROCABA,60000,Sorocaba , SP
SHOPPING CIDADE VERDE,13000,Parnamirim , RN
SHOPPING CONJUNTO NACIONAL,21068,Brasília , DF
SHOPPING CONQUISTA SUL,34200,Vitória da Conquista , BA
SHOPPING CONTAGEM,37787,Contagem , MG
SHOPPING CRYSTAL,8351,Curitiba , PR
SHOPPING CURITIBA,14206,Curitiba , PR
SHOPPING D,28967,São Paulo , SP
SHOPPING DA BAHIA,93620,Salvador , BA
SHOPPING DA GÁVEA,11124,Rio de Janeiro , RJ
SHOPPING DA ILHA,43019,São Luís , MA
SHOPPING DA VILA,56412,Delmiro Gouveia , AL
SHOPPING DEL PASEO,10000,Fortaleza , CE
SHOPPING DEL REY,69638,Belo Horizonte , MG
SHOPPING DIADEMA,16745,Diadema , SP
SHOPPING DIFUSORA,10000,Caruaru , PE
SHOPPING DO AUTOMÓVEL HOLANDESES,15500,São Luís , MA
SHOPPING DO MÉIER,0,Rio de Janeiro , RJ
SHOPPING DO VALE,0,Cachoeirinha , RS
SHOPPING DOWNTOWN,0,Rio de Janeiro , RJ
SHOPPING ELDORADO,70726,São Paulo , SP
SHOPPING ESTAÇÃO,32749,Curitiba , PR
SHOPPING ESTAÇÃO BH,58457,Belo Horizonte , MG
SHOPPING ESTAÇÃO CUIABÁ,65767,Cuiabá , MT
SHOPPING ESTAÇÃO GOIÂNIA,68847,Goiânia , GO
SHOPPING ETC,0,Recife , PE
SHOPPING EUSÉBIO,44000,Eusébio , CE
SHOPPING FIESTA,70292,São Paulo , SP
SHOPPING FLAMINGO,0,Barueri , SP
SHOPPING FRANCO DA ROCHA,10006,Franco da Rocha , SP
SHOPPING FREI CANECA,10103,São Paulo , SP
SHOPPING GALERIA,4787,Osasco , SP
SHOPPING GALLO,6000,Goiânia , GO
SHOPPING GERMÂNIA,9427,Santa Cruz do Sul , RS
SHOPPING GRANDE CIRCULAR,21231,Manaus , AM
SHOPPING GRANDE RIO,160467,São João de Meriti , RJ
SHOPPING GRANJA VIANNA,32952,Cotia , SP
SHOPPING GUARARAPES,130000,Jaboatão dos Guararapes , PE
SHOPPING HORTOLÂNDIA,23105,Hortolândia , SP
SHOPPING IBIRAPUERA,37148,São Paulo , SP
SHOPPING ID,14000,Brasília , DF
SHOPPING IGARASSU,10277,Igarassu , PE
SHOPPING IGUATEMI ALPHAVILLE,0,Barueri , SP
SHOPPING IGUATEMI BRASÍLIA,34658,Brasília , DF
SHOPPING IGUATEMI SÃO JOSÉ DO RIO PRETO,100000,São José do Rio Preto , SP
SHOPPING INTERLAGOS,480000,São Paulo , SP
SHOPPING ITAGUAÇU,80000,São José , SC
SHOPPING ITAIGARA,10785,Salvador , BA
SHOPPING JARAGUÁ ARARAQUARA,111638,Araraquara , SP
SHOPPING JARAGUÁ CENESP,250000,São Paulo , SP
SHOPPING JARAGUÁ INDAIATUBA,14008,Indaiatuba , SP
SHOPPING JARDIM DAS AMÉRICAS,14391,Curitiba , PR
SHOPPING JARDIM GUADALUPE,63900,Rio de Janeiro , RJ
SHOPPING JARDIM NORTE,80000,Juiz de Fora , MG
SHOPPING JARDIM ORIENTE,250000,São José dos Campos , SP
SHOPPING JARDIM SUL,22973,São Paulo , SP
SHOPPING JARDINS,132600,Aracaju , SE
SHOPPING JEQUITI,56483,Guarujá , SP
SHOPPING JEQUITIBÁ,30098,Itabuna , BA
SHOPPING JK IGUATEMI,0,São Paulo , SP
SHOPPING JOÃO PESSOA,4739,Porto Alegre , RS
SHOPPING LA PLAGE,5905,Guarujá , SP
SHOPPING LAJEADO,22394,Lajeado , RS
SHOPPING LAR CENTER,123137,São Paulo , SP
SHOPPING LEBLON,16709,Rio de Janeiro , RJ
SHOPPING LIGHT,18600,São Paulo , SP
SHOPPING LUPO,10195,Araraquara , SP
SHOPPING MANAUS VIANORTE,172097,Manaus , AM
SHOPPING MANDACARU BOULEVARD,44500,Maringá , PR
SHOPPING MEGA POLO MODA GOIANIA,71303,Goiânia , GO
SHOPPING MESTRE ÁLVARO,34000,Serra , ES
SHOPPING METRÔ BOULEVARD TATUAPÉ,14439,São Paulo , SP
SHOPPING METRÔ ITAQUERA,119330,São Paulo , SP
SHOPPING METRÔ SANTA CRUZ,7916,São Paulo , SP
SHOPPING METRÔ TATUAPÉ,32128,São Paulo , SP
SHOPPING METRÔ TUCURUVI,44498,São Paulo , SP
SHOPPING METRÓPOLE,59890,São Bernardo do Campo , SP
SHOPPING METRÓPOLE ANANINDEUA,183933,Ananindeua , PA
SHOPPING METROPOLITANO BARRA,205335,Rio de Janeiro , RJ
SHOPPING MINASCASA,11922,Belo Horizonte , MG
SHOPPING MONTSERRAT,10021,Serra , ES
SHOPPING MOXUARA,33176,Cariacica , ES
SHOPPING MUELLER DE CURITIBA,13111,Curitiba , PR
SHOPPING MUELLER JOINVILLE,22560,Joinville , SC
SHOPPING NAÇÕES UNIDAS,33000,São Paulo , SP
SHOPPING NORTE SUL,11000,Vitória , ES
SHOPPING NOVA AMÉRICA,135164,Rio de Janeiro , RJ
SHOPPING NOVA IGUAÇU,344576,Nova Iguaçu , RJ
SHOPPING NOVO BATEL,0,Curitiba , PR
SHOPPING ÓRION,7668,Goiânia , GO
SHOPPING ORIUNDI,22520,Aracruz , ES
SHOPPING PALLADIUM CURITIBA,43000,Curitiba , PR
SHOPPING PALLADIUM PONTA GROSSA,21000,Ponta Grossa , PR
SHOPPING PALLADIUM UMUARAMA,91000,Umuarama , PR
SHOPPING PARANGABA,52658,Fortaleza , CE
SHOPPING PARK BOTUCATU,79493,Botucatu , SP
SHOPPING PARK DESIGN,15000,Brasília , DF
SHOPPING PARK EUROPEU,40937,Blumenau , SC
SHOPPING PARK LAGOS,98730,Cabo Frio , RJ
SHOPPING PARK SUL,85000,Volta Redonda , RJ
SHOPPING PARKCITY SUMARÉ,47793,Sumaré , SP
SHOPPING PARQUE BALNEÁRIO,5000,Santos , SP
SHOPPING PARQUE DA CIDADE,12000,São Paulo , SP
SHOPPING PARQUE DAS BANDEIRAS,342731,Campinas , SP
SHOPPING PASEO ITAIGARA,13883,Salvador , BA
SHOPPING PASSEIO (SÃO LUIS),6400,São Luís , MA
SHOPPING PÁTIO BELÉM,38218,Belém , PA
SHOPPING PÁTIO DIVINÓPOLIS,29800,Divinópolis , MG
SHOPPING PÁTIO GUARULHOS,35499,Guarulhos , SP
SHOPPING PÁTIO HIGIENÓPOLIS,0,São Paulo , SP
SHOPPING PÁTIO MACEIÓ,122019,Maceió , AL
SHOPPING PÁTIO PAULISTA,13412,São Paulo , SP
SHOPPING PÁTIO PETRÓPOLIS,0,Petrópolis , RJ
SHOPPING PÁTIO PINDA,120000,Pindamonhangaba , SP
SHOPPING PATTEO OLINDA,24273,Olinda , PE
SHOPPING PATTEO URUPEMA,3765,Mogi das Cruzes , SP
SHOPPING PEIXOTO,23400,Itabaiana , SE
SHOPPING PELOTAS,89781,Pelotas , RS
SHOPPING PIER 21,49802,Brasília , DF
SHOPPING PIRACICABA,98000,Piracicaba , SP
SHOPPING PIRATA’S,38799,Angra dos Reis , RJ
SHOPPING PLAZA MACAÉ,60000,Macaé , RJ
SHOPPING PONTA NEGRA,53264,Manaus , AM
SHOPPING PORTO MILLER BOULEVARD,8154,Porto Feliz , SP
SHOPPING PRAÇA DA MOÇA,20862,Diadema , SP
SHOPPING PRAÇA NOVA ARAÇATUBA,39089,Araçatuba , SP
SHOPPING PRAÇA NOVA SANTA MARIA,122117,Santa Maria , RS
SHOPPING PRAIA DA COSTA,28475,Vila Velha , ES
SHOPPING PRÊMIO,65000,Nossa Senhora do Socorro , SE
SHOPPING RECIFE,185302,Recife , PE
SHOPPING REPUBLICA,20000,Goiânia , GO
SHOPPING RIO POTY,79280,Teresina , PI
SHOPPING RIO VERDE,27000,Rio Verde , GO
SHOPPING RIOMAR RECIFE,201710,Recife , PE
SHOPPING SANTA ÚRSULA,63506,Ribeirão Preto , SP
SHOPPING SÃO JOSÉ,14000,Manaus , AM
SHOPPING SÃO JOSÉ,14543,São José dos Pinhais , PR
SHOPPING SERRA DOURADA,90000,Altamira , PA
SHOPPING SERRA TALHADA,31658,Serra Talhada , PE
SHOPPING SERRINHA,32220,Serrinha , BA
SHOPPING SETE LAGOAS,72332,Sete Lagoas , MG
SHOPPING SINOP,200000,Sinop , MT
SHOPPING SP MARKET,163995,São Paulo , SP
SHOPPING SPAZIO OURO VERDE,15765,Campinas , SP
SHOPPING SUL,64449,Valparaíso de Goiás , GO
SHOPPING TABOÃO,173308,Taboão da Serra , SP
SHOPPING TACARUNA,76958,Recife , PE
SHOPPING TAMBIÁ,11270,João Pessoa , PB
SHOPPING TAMBORÉ,160554,Barueri , SP
SHOPPING TERMINAL CENTRAL,15745,Uberlândia , MG
SHOPPING TIJUCA,13449,Rio de Janeiro , RJ
SHOPPING TOTAL (PORTO ALEGRE),55039,Porto Alegre , RS
SHOPPING TOTAL PONTA GROSSA,0,Ponta Grossa , PR
SHOPPING TRÊS LAGOAS,120000,Três Lagoas , MS
SHOPPING UNIÃO DE OSASCO,225213,Osasco , SP
SHOPPING UNIGRANRIO,4500,Duque de Caxias , RJ
SHOPPING VALE DO AÇO,67480,Ipatinga , MG
SHOPPING VALINHOS,28647,Valinhos , SP
SHOPPING VIACATARINA,13850,Palhoça , SC
SHOPPING VILA OLÍMPIA,10928,São Paulo , SP
SHOPPING VILA VELHA,139067,Vila Velha , ES
SHOPPING VILLA LOBOS,30000,São Paulo , SP
SHOPPING VILLAGIO CAXIAS,156462,Caxias do Sul , RS
SHOPPING VITÓRIA,87830,Vitória , ES
SHOPPING WEST PLAZA,18838,São Paulo , SP
SHOPPING WEST SIDE,25000,Cascavel , PR
SHOPS JARDINS,2738,São Paulo , SP
SIDER SHOPPING,4713,Volta Redonda , RJ
SOBRAL SHOPPING,38170,Sobral , CE
SOROCABA SHOPPING CENTER,28635,Sorocaba , SP
STUDIO 5 SHOPPING,110219,Manaus , AM
SUMAÚMA PARK SHOPPING,137853,Manaus , AM
SUPERSHOPPING OSASCO,133299,Osasco , SP
SUZANO SHOPPING,50145,Suzano , SP
TABOÃO PLAZA OUTLET,34440,Taboão da Serra , SP
TAGUATINGA SHOPPING,44162,Brasília , DF
TAQUARA PLAZA SHOPPING,44326,Rio de Janeiro , RJ
TAUBATÉ SHOPPING CENTER,82383,Taubaté , SP
TERESINA SHOPPING,157841,Teresina , PI
TERESÓPOLIS SHOPPING CENTER,9105,Teresópolis , RJ
TERRAÇO SHOPPING,24860,Brasília , DF
TERRAZO SHOPPING,68000,Eusébio , CE
TIETÊ PLAZA SHOPPING,45599,São Paulo , SP
TIVOLI SHOPPING,95573,Santa Bárbara d'Oeste , SP
TOCANTINS SHOPPING,0,Imperatriz , MA
TOP CENTER SHOPPING,25830,São Paulo , SP
TOPSHOPPING (RJ),11141,Nova Iguaçu , RJ
TRIMAIS PLACES,0,São Paulo , SP
UBERLÂNDIA SHOPPING,156224,Uberlândia , MG
UNIMART SHOPPING CAMPINAS,0,Campinas , SP
UPTOWN BARRA,128000,Rio de Janeiro , RJ
VALE SUL SHOPPING,230000,São José dos Campos , SP
VÁRZEA GRANDE SHOPPING,25846,Várzea Grande , MT
VENÂNCIO SHOPPING,8000,Brasília , DF
VENTURA SHOPPING,31000,Curitiba , PR
VIA BRASIL SHOPPING,19010,Rio de Janeiro , RJ
VIA CAFÉ SHOPPING CENTER,40000,VARGINHA , MG
VIA DIRETA SHOPPING CENTER,35638,Natal , RN
VIA PARQUE SHOPPING,105111,Rio de Janeiro , RJ
VIA SUL SHOPPING,16720,Fortaleza , CE
VIA VALE SHOPPING,81094,Taubaté , SP
VIA VERDE SHOPPING,121104,Rio Branco , AC
VIABRASIL PAMPULHA,26238,Belo Horizonte , MG
VIASHOPPING BARREIRO,57167,Belo Horizonte , MG
VILLA MULTIMALL,19168,Santa Bárbara d'Oeste , SP
CATARINA FASHION OUTLET,436909,São Roque , SP
CITY CENTER OUTLET PREMIUM,290000,Campo Largo , PR
I FASHION OUTLET NOVO HAMBURGO,176000,Novo Hamburgo , RS
I FASHION OUTLET SANTA CATARINA,213000,Tijucas , SC
OUTLET FERNÃO DIAS,94709,Atibaia , SP
OUTLET PREMIUM BRASÍLIA,121258,Alexânia , GO
OUTLET PREMIUM FORTALEZA,0,Caucaia , CE
PORTO BELO OUTLET PREMIUM,300000,Porto Belo , SC
RECIFE OUTLET,77675,Moreno , PE
SÓ MARCAS BH OUTLET,95000,Belo Horizonte , MG
GLICÉRIO BOULEVARD,4400,Suzano , SP
RIO 2 SHOPPING,0,Rio de Janeiro , RJ
VILLAGIO MALL CENTER,5943,Bauru , SP
ASSIS PLAZA SHOPPING,1991,Assis , SP
MEGA MODA PARK,9920,Goiânia , GO
RIVIERA SHOPPING,37393,Bertioga , SP
SHOPPING CENTER PACO DO OUVIDOR,2000,Rio de Janeiro , RJ
